doc_id,Reducto,md_marker,md_mathpix,own tool,textin
23-0323_ego_stx4500_stx4500-fc_stringtrimmer_manual_en,0.57,0.63,0.61,0.59,0.6
FEIER,0.5,0.49,0.3,0.4,0.49
Hanwha_Integration_Guide,0.65,0.48,0.69,0.29,0.61
SSA1200_EGO_SNOW-SHOVEL-ATTACHMENT_22-0519_EXPLOSION-DIAGRAM_VERSION-A,0.94,0.94,0.94,0.95,0.93
TP-MVD8MV2-rotated,0.8,0.79,0.75,0.81,0.8
ego_accessory_compatibility_matrix,0.39,0.61,0.68,0.55,0.59
feier_start_100_manual,0.11,0.12,0.12,0.09,0.1
ihealth_bg5,0.24,0.24,0.25,0.25,0.29
zt4200s_ego_zero-turn-riding-mower_version-a,0.69,0.78,0.77,0.16,0.79
